State,Year,Month,Week,AverageTemperature
Arizona,2016,1,53,38.26973343
Arizona,2016,1,1,39.24630737
Arizona,2016,1,2,37.00185394
Arizona,2016,1,3,45.84832001
Arizona,2016,1,4,45.99570465
Arizona,2016,2,5,37.52370453
Arizona,2016,2,6,54.37969971
Arizona,2016,2,7,58.9523201
Arizona,2016,2,8,55.67575836
Arizona,2016,3,9,62.63718796
Arizona,2016,3,10,54.32037354
Arizona,2016,3,11,60.78604889
Arizona,2016,3,12,59.00499725
Arizona,2016,4,13,54.51884079
Arizona,2016,4,14,64.31798553
Arizona,2016,4,15,58.21315765
Arizona,2016,4,16,65.46649933
Arizona,2016,5,17,57.5200882
Arizona,2016,5,18,62.90926361
Arizona,2016,5,19,70.54003906
Arizona,2016,5,20,67.73072815
Arizona,2016,5,21,67.67502594
Arizona,2016,6,22,80.21372223
Arizona,2016,6,23,82.06337738
Arizona,2016,6,24,79.70933533
Arizona,2016,6,25,88.09986877
Arizona,2016,7,26,81.63496399
Arizona,2016,7,27,84.02910614
Arizona,2016,7,28,86.14661407
Arizona,2016,7,29,85.96813965
Arizona,2016,7,30,86.80013275
Arizona,2016,8,31,79.41040039
Arizona,2016,8,32,80.77033997
Arizona,2016,8,33,82.2881012
Arizona,2016,8,34,76.42503357
Arizona,2016,9,35,79.83666992
Arizona,2016,9,36,77.29515076
Arizona,2016,9,37,74.16871643
Arizona,2016,9,38,70.55229187
Arizona,2016,10,39,70.11673737
Arizona,2016,10,40,65.81217957
Arizona,2016,10,41,70.87973785
Arizona,2016,10,42,68.75135803
Arizona,2016,10,43,69.61680603
Arizona,2016,11,44,61.97361374
Arizona,2016,11,45,60.24507904
Arizona,2016,11,46,57.053936
Arizona,2016,11,47,50.1557312
Arizona,2016,12,48,40.50973511
Arizona,2016,12,49,46.86400604
Arizona,2016,12,50,50.27531815
Arizona,2016,12,51,44.02003098
Arizona,2016,1,52,41.76530838
Arizona,2017,1,52,43.90126801
Arizona,2017,1,1,43.19451904
Arizona,2017,1,2,48.52140427
Arizona,2017,1,3,41.67131805
Arizona,2017,1,4,34.49449921
Arizona,2017,2,5,47.20293427
Arizona,2017,2,6,55.259758
Arizona,2017,2,7,49.94171906
Arizona,2017,2,8,46.91454315
Arizona,2017,3,9,47.36037064
Arizona,2017,3,10,57.36116791
Arizona,2017,3,11,67.57488251
Arizona,2017,3,12,61.01593781
Arizona,2017,4,13,55.85236359
Arizona,2017,4,14,60.68151093
Arizona,2017,4,15,64.44746399
Arizona,2017,4,16,68.91867828
Arizona,2017,4,17,63.81393433
Arizona,2017,5,18,71.55484772
Arizona,2017,5,19,63.34487152
Arizona,2017,5,20,62.9592514
Arizona,2017,5,21,75.56134033
Arizona,2017,6,22,77.45362854
Arizona,2017,6,23,81.49912262
Arizona,2017,6,24,79.579422
Arizona,2017,6,25,91.02069855
Arizona,2017,7,26,85.89678192
Arizona,2017,7,27,88.09262085
Arizona,2017,7,28,84.28596497
Arizona,2017,7,29,80.24234009
Arizona,2017,7,30,78.72386169
Arizona,2017,8,31,80.2395401
Arizona,2017,8,32,82.34742737
Arizona,2017,8,33,80.50908661
Arizona,2017,8,34,81.99301147
Arizona,2017,9,35,84.59545135
Arizona,2017,9,36,80.23042297
Arizona,2017,9,37,77.05608368
Arizona,2017,9,38,70.85864258
Arizona,2017,10,39,68.26087189
Arizona,2017,10,40,70.96257019
Arizona,2017,10,41,67.25287628
Arizona,2017,10,42,68.53239441
Arizona,2017,10,43,67.63327789
Arizona,2017,11,44,62.48689651
Arizona,2017,11,45,60.80780029
