State,Year,Month,Week,AverageTemperature,REGION TYPE,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
Arizona,2016,1,1,39.24630737,States,X,2.77037,X,X,X,X,X,X,644.0,58,23246
Arizona,2016,1,2,37.00185394,States,X,2.78806,X,X,X,X,X,X,678.0,59,24318
Arizona,2016,1,3,45.84832001,States,X,3.02494,X,X,X,X,X,X,666.0,58,22017
Arizona,2016,1,4,45.99570465,States,X,3.40586,X,X,X,X,X,X,778.0,51,22843
Arizona,2016,2,5,37.52370453,States,X,3.97859,X,X,X,X,X,X,892.0,51,22420
Arizona,2016,2,6,54.37969971,States,X,5.18344,X,X,X,X,X,X,1297.0,58,25022
Arizona,2016,2,7,58.9523201,States,X,5.17415,X,X,X,X,X,X,1181.0,50,22825
Arizona,2016,2,8,55.67575836,States,X,5.38213,X,X,X,X,X,X,1181.0,49,21943
Arizona,2016,3,9,62.63718796,States,X,5.02006,X,X,X,X,X,X,1251.0,57,24920
Arizona,2016,3,10,54.32037354,States,X,4.14432,X,X,X,X,X,X,819.0,49,19762
Arizona,2016,3,11,60.78604889,States,X,3.57787,X,X,X,X,X,X,813.0,57,22723
Arizona,2016,3,12,59.00499725,States,X,3.08999,X,X,X,X,X,X,731.0,59,23657
Arizona,2016,4,13,54.51884079,States,X,2.8788,X,X,X,X,X,X,528.0,47,18341
Arizona,2016,4,14,64.31798553,States,X,2.73979,X,X,X,X,X,X,611.0,57,22301
Arizona,2016,4,15,58.21315765,States,X,2.80626,X,X,X,X,X,X,594.0,56,21167
Arizona,2016,4,16,65.46649933,States,X,2.74251,X,X,X,X,X,X,581.0,55,21185
Arizona,2016,5,17,57.5200882,States,X,2.2786,X,X,X,X,X,X,476.0,54,20890
Arizona,2016,5,18,62.90926361,States,X,1.94952,X,X,X,X,X,X,387.0,54,19851
Arizona,2016,5,19,70.54003906,States,X,1.8429,X,X,X,X,X,X,362.0,55,19643
Arizona,2016,5,20,67.73072815,States,X,1.87616,X,X,X,X,X,X,363.0,56,19348
Arizona,2016,5,21,67.67502594,States,X,1.36355,X,X,X,X,X,X,299.0,54,21928
Arizona,2016,6,22,80.21372223,States,X,1.19484,X,X,X,X,X,X,238.0,55,19919
Arizona,2016,6,23,82.06337738,States,X,1.30139,X,X,X,X,X,X,302.0,54,23206
Arizona,2016,6,24,79.70933533,States,X,1.3982,X,X,X,X,X,X,313.0,54,22386
Arizona,2016,6,25,88.09986877,States,X,0.845835,X,X,X,X,X,X,159.0,45,18798
Arizona,2016,7,26,81.63496399,States,X,1.04029,X,X,X,X,X,X,165.0,44,15861
Arizona,2016,7,27,84.02910614,States,X,0.936658,X,X,X,X,X,X,139.0,42,14840
Arizona,2016,7,28,86.14661407,States,X,0.79623,X,X,X,X,X,X,147.0,44,18462
Arizona,2016,7,29,85.96813965,States,X,0.844818,X,X,X,X,X,X,160.0,44,18939
Arizona,2016,7,30,86.80013275,States,X,0.749576,X,X,X,X,X,X,137.0,44,18277
Arizona,2016,8,31,79.41040039,States,X,0.769468,X,X,X,X,X,X,150.0,45,19494
Arizona,2016,8,32,80.77033997,States,X,0.351899,X,X,X,X,X,X,58.0,25,16482
Arizona,2016,8,33,82.2881012,States,X,0.465008,X,X,X,X,X,X,80.0,24,17204
Arizona,2016,8,34,76.42503357,States,X,0.601662,X,X,X,X,X,X,97.0,22,16122
Arizona,2016,9,35,79.83666992,States,X,0.944555,X,X,X,X,X,X,100.0,20,10587
Arizona,2016,9,36,77.29515076,States,X,0.522004,X,X,X,X,X,X,65.0,17,12452
Arizona,2016,9,37,74.16871643,States,X,0.485373,X,X,X,X,X,X,74.0,17,15246
Arizona,2016,9,38,70.55229187,States,X,0.560523,X,X,X,X,X,X,84.0,16,14986
Arizona,2016,10,39,70.11673737,States,X,0.686454,X,X,X,X,X,X,105.0,18,15296
Arizona,2016,10,40,65.81217957,States,X,1.23442,X,X,X,X,X,X,309.0,49,25032
Arizona,2016,10,41,70.87973785,States,X,0.872229,X,X,X,X,X,X,262.0,50,30038
Arizona,2016,10,42,68.75135803,States,X,0.956952,X,X,X,X,X,X,321.0,54,33544
Arizona,2016,10,43,69.61680603,States,X,1.17237,X,X,X,X,X,X,303.0,47,25845
Arizona,2016,11,44,61.97361374,States,X,1.32646,X,X,X,X,X,X,265.0,47,19978
